Date,Districts
16-12-2020,"['Mizoram-Serchhip.csv', 'Himachal Pradesh-Kinnaur.csv', 'Mizoram-Mamit.csv', 'Chhattisgarh-Dhamtari.csv']"
17-12-2020,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Arunachal Pradesh-Anjaw.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
18-12-2020,"['Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Karnataka-Chitradurga.csv', 'Mizoram-Mamit.csv']"
19-12-2020,"['Meghalaya-South Garo Hills.csv', 'Chhattisgarh-Korba.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
20-12-2020,"['Mizoram-Saiha.csv', 'Mizoram-Champhai.csv', 'Chhattisgarh-Narayanpur.csv', 'Maharashtra-Gadchiroli.csv']"
21-12-2020,"['Chhattisgarh-Narayanpur.csv', 'Mizoram-Serchhip.csv', 'Chhattisgarh-Dhamtari.csv']"
22-12-2020,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Chhattisgarh-Narayanpur.csv', 'Mizoram-Saiha.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
23-12-2020,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Narayanpur.csv', 'Mizoram-Kolasib.csv', 'Puducherry-Mahe.csv', 'Mizoram-Mamit.csv']"
24-12-2020,"['Arunachal Pradesh-Upper Siang.csv', 'Chhattisgarh-Bastar.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Mamit.csv']"
25-12-2020,"['Meghalaya-South Garo Hills.csv', 'Maharashtra-Gadchiroli.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
26-12-2020,"['Chhattisgarh-Narayanpur.csv', 'Mizoram-Mamit.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Arunachal Pradesh-Anjaw.csv']"
27-12-2020,"['Chhattisgarh-Uttar Bastar Kanker.csv', 'Mizoram-Lawngtlai.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
28-12-2020,"['Mizoram-Serchhip.csv', 'Himachal Pradesh-Kinnaur.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
29-12-2020,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Arunachal Pradesh-Anjaw.csv', 'Mizoram-Mamit.csv', 'Chhattisgarh-Dhamtari.csv']"
30-12-2020,"['Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Karnataka-Chitradurga.csv', 'Mizoram-Mamit.csv']"
31-12-2020,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Champhai.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
1-1-2021,"['Mizoram-Saiha.csv', 'Chhattisgarh-Narayanpur.csv', 'Mizoram-Lawngtlai.csv', 'Maharashtra-Gadchiroli.csv']"
2-1-2021,"['Mizoram-Serchhip.csv', 'Meghalaya-South Garo Hills.csv', 'Chhattisgarh-Dhamtari.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv']"
3-1-2021,"['Chhattisgarh-Narayanpur.csv', 'Mizoram-Saiha.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
4-1-2021,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Narayanpur.csv', 'Mizoram-Kolasib.csv', 'Puducherry-Mahe.csv', 'Mizoram-Mamit.csv']"
5-1-2021,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Uttar Bastar Kanker.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
6-1-2021,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
7-1-2021,"['Arunachal Pradesh-Upper Siang.csv', 'Arunachal Pradesh-Anjaw.csv', 'Maharashtra-Gadchiroli.csv', 'Chhattisgarh-Narayanpur.csv', 'Chhattisgarh-Dhamtari.csv']"
8-1-2021,"['Mizoram-Serchhip.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Chhattisgarh-Korba.csv', 'Mizoram-Mamit.csv']"
9-1-2021,"['Mizoram-Serchhip.csv', 'Chhattisgarh-Korba.csv', 'Himachal Pradesh-Kinnaur.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
10-1-2021,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Arunachal Pradesh-Anjaw.csv', 'Mizoram-Mamit.csv', 'Chhattisgarh-Dhamtari.csv']"
