District name,Population
Maharashtra-Ratnagiri.csv,1615069
Maharashtra-Sangli.csv,2822143
Maharashtra-Satara.csv,3003741
Maharashtra-Sindhudurg.csv,849651
Maharashtra-Solapur.csv,4317756
Maharashtra-Thane.csv,11060148
Maharashtra-Wardha.csv,1300774
Maharashtra-Washim.csv,1197160
Maharashtra-Yavatmal.csv,2772348
Meghalaya-East Garo Hills.csv,317917
Meghalaya-East Khasi Hills.csv,825922
Meghalaya-Ribhoi.csv,258840
Meghalaya-South Garo Hills.csv,142334
Meghalaya-West Garo Hills.csv,643291
Meghalaya-West Khasi Hills.csv,383461
Mizoram-Aizawl.csv,400309
Mizoram-Champhai.csv,125745
Mizoram-Kolasib.csv,83955
Mizoram-Lawngtlai.csv,117894
Mizoram-Lunglei.csv,161428
Mizoram-Mamit.csv,86364
Mizoram-Saiha.csv,56574
Mizoram-Serchhip.csv,64937
Nagaland-Dimapur.csv,378811
Nagaland-Kiphire.csv,74004
Nagaland-Kohima.csv,267988
Nagaland-Longleng.csv,50484
Nagaland-Mokokchung.csv,194622
Nagaland-Mon.csv,250260
Nagaland-Peren.csv,95219
Nagaland-Phek.csv,163418
Nagaland-Tuensang.csv,196596
Nagaland-Wokha.csv,166343
Nagaland-Zunheboto.csv,140757
Odisha-Balangir.csv,1648997
Odisha-Bargarh.csv,1481255
Odisha-Bhadrak.csv,1506337
Odisha-Cuttack.csv,2624470
Odisha-Dhenkanal.csv,1192811
Odisha-Gajapati.csv,577817
Odisha-Ganjam.csv,3529031
Odisha-Jharsuguda.csv,579505
Odisha-Kalahandi.csv,1576869
Odisha-Kandhamal.csv,733110
Odisha-Kendrapara.csv,1440361
Odisha-Kendujhar.csv,1801733
Odisha-Khordha.csv,2251673
Odisha-Koraput.csv,1379647
Odisha-Malkangiri.csv,613192
Odisha-Mayurbhanj.csv,2519738
Odisha-Nabarangapur.csv,1220946
Odisha-Nayagarh.csv,962789
Odisha-Nuapada.csv,610382
Odisha-Puri.csv,1698730
Odisha-Rayagada.csv,967911
Odisha-Sambalpur.csv,1041099
Odisha-Subarnapur.csv,610183
Odisha-Sundargarh.csv,2093437
Puducherry-Karaikal.csv,200222
Puducherry-Mahe.csv,41816
Puducherry-Yanam.csv,55626
Punjab-Amritsar.csv,2490656
Punjab-Barnala.csv,595527
Punjab-Bathinda.csv,1388525
Punjab-Faridkot.csv,617508
Punjab-Fatehgarh Sahib.csv,600163
Punjab-Gurdaspur.csv,2298323
Punjab-Hoshiarpur.csv,1586625
Punjab-Jalandhar.csv,2193590
Punjab-Kapurthala.csv,815168
Punjab-Ludhiana.csv,3498739
Punjab-Mansa.csv,769751
Punjab-Moga.csv,995746
Punjab-Patiala.csv,1895686
Punjab-Rupnagar.csv,684627
Punjab-Sangrur.csv,1655169
Punjab-Shahid Bhagat Singh Nagar.csv,612310
Punjab-Tarn Taran.csv,1119627
Rajasthan-Ajmer.csv,2583052
Rajasthan-Alwar.csv,3674179
Rajasthan-Banswara.csv,1797485
Rajasthan-Baran.csv,1222755
Rajasthan-Barmer.csv,2603751
Rajasthan-Bharatpur.csv,2548462
Rajasthan-Bhilwara.csv,2408523
Rajasthan-Bikaner.csv,2363937
Rajasthan-Bundi.csv,1110906
Rajasthan-Churu.csv,2039547
Rajasthan-Dausa.csv,1634409
Rajasthan-Dungarpur.csv,1388552
Rajasthan-Ganganagar.csv,1969168
Rajasthan-Hanumangarh.csv,1774692
Rajasthan-Jaipur.csv,6626178
Rajasthan-Jaisalmer.csv,669919
Rajasthan-Jhalawar.csv,1411129
Rajasthan-Jodhpur.csv,3687165
Rajasthan-Karauli.csv,1458248
Rajasthan-Kota.csv,1951014
Rajasthan-Nagaur.csv,3307743
Rajasthan-Pali.csv,2037573
Rajasthan-Pratapgarh.csv,3209141
Rajasthan-Rajsamand.csv,1156597
Rajasthan-Sawai Madhopur.csv,1335551
Rajasthan-Sikar.csv,2677333
Rajasthan-Sirohi.csv,1036346
Rajasthan-Tonk.csv,1421326
Rajasthan-Udaipur.csv,3068420
Tamil Nadu-Ariyalur.csv,754894
Tamil Nadu-Chennai.csv,4646732
Tamil Nadu-Coimbatore.csv,3458045
Tamil Nadu-Cuddalore.csv,2605914
Tamil Nadu-Dharmapuri.csv,1506843
Tamil Nadu-Dindigul.csv,2159775
Tamil Nadu-Erode.csv,2251744
Tamil Nadu-Kancheepuram.csv,3998252
Tamil Nadu-Karur.csv,1064493
Tamil Nadu-Krishnagiri.csv,1879809
Tamil Nadu-Madurai.csv,3038252
Tamil Nadu-Nagapattinam.csv,1616450
Tamil Nadu-Namakkal.csv,1726601
Tamil Nadu-Perambalur.csv,565223
Tamil Nadu-Pudukkottai.csv,1618345
Tamil Nadu-Ramanathapuram.csv,1353445
Tamil Nadu-Salem.csv,3482056
Tamil Nadu-Sivaganga.csv,1339101
Tamil Nadu-Thanjavur.csv,2405890
Tamil Nadu-Theni.csv,1245899
Tamil Nadu-Thiruvallur.csv,3728104
Tamil Nadu-Thiruvarur.csv,1264277
Tamil Nadu-Thoothukkudi.csv,1750176
Tamil Nadu-Tiruchirappalli.csv,2722290
Tamil Nadu-Tirunelveli.csv,3077233
Tamil Nadu-Tiruppur.csv,2479052
Tamil Nadu-Tiruvannamalai.csv,2464875
